city	midpoint	bbox_lat	bbox_lon
wellington	-41.285099029541016, 174.7760009765625	-41.36246109008789, -41.143531799316406	174.61306762695312, 174.89541625976562
san francisco	37.78007888793945, -122.42015838623047	37.703773498535156, 37.86368179321289	-122.52021789550781, -122.35164642333984
new york	40.71304702758789, -74.00723266601562	40.363765716552734, 41.0565299987793	-74.74592590332031, -73.26721954345703
sydney	-33.873199462890625, 151.2095947265625	-34.1965217590332, -33.374847412109375	150.5858612060547, 151.35153198242188
london	51.500152587890625, -0.12623600661754608	51.171478271484375, 51.86424255371094	-1.0028589963912964, 0.7984259724617004
